VIDEO_NAME,TITLE,LOCATION,DURATION
ab_A3_100000010.mp4,চিন্তা,Isolated_Gloss_Renamed_Audioless\100000010,5.28
ar_A2_100000010.mp4,চিন্তা,Isolated_Gloss_Renamed_Audioless\100000010,4.32
la_A1_100000010.mp4,চিন্তা,Isolated_Gloss_Renamed_Audioless\100000010,4.32
ra_A5_100000010.mp4,চিন্তা,Isolated_Gloss_Renamed_Audioless\100000010,4.32
sr_A4_100000010.mp4,চিন্তা,Isolated_Gloss_Renamed_Audioless\100000010,5.28
ab_A3_100000022.mp4,মোট,Isolated_Gloss_Renamed_Audioless\100000022,5.76
ar_A2_100000022.mp4,মোট,Isolated_Gloss_Renamed_Audioless\100000022,3.36
la_A1_100000022.mp4,মোট,Isolated_Gloss_Renamed_Audioless\100000022,3.36
ra_A5_100000022.mp4,মোট,Isolated_Gloss_Renamed_Audioless\100000022,4.32
sr_A4_100000022.mp4,মোট,Isolated_Gloss_Renamed_Audioless\100000022,3.84
ab_A3_100000028.mp4,মায়া,Isolated_Gloss_Renamed_Audioless\100000028,4.8
ar_A2_100000028.mp4,মায়া,Isolated_Gloss_Renamed_Audioless\100000028,4.32
la_A1_100000028.mp4,মায়া,Isolated_Gloss_Renamed_Audioless\100000028,3.84
ra_A5_100000028.mp4,মায়া,Isolated_Gloss_Renamed_Audioless\100000028,4.8
sr_A4_100000028.mp4,মায়া,Isolated_Gloss_Renamed_Audioless\100000028,5.28
ab_A3_100000036.mp4,মাটি,Isolated_Gloss_Renamed_Audioless\100000036,4.8
ar_A2_100000036.mp4,মাটি,Isolated_Gloss_Renamed_Audioless\100000036,3.36
la_A1_100000036.mp4,মাটি,Isolated_Gloss_Renamed_Audioless\100000036,3.36
ra_A5_100000036.mp4,মাটি,Isolated_Gloss_Renamed_Audioless\100000036,3.36
sr_A4_100000036.mp4,মাটি,Isolated_Gloss_Renamed_Audioless\100000036,3.36
ab_A3_100000038.mp4,সবাই,Isolated_Gloss_Renamed_Audioless\100000038,4.8
ar_A2_100000038.mp4,সবাই,Isolated_Gloss_Renamed_Audioless\100000038,4.32
la_A1_100000038.mp4,সবাই,Isolated_Gloss_Renamed_Audioless\100000038,3.84
ra_A5_100000038.mp4,সবাই,Isolated_Gloss_Renamed_Audioless\100000038,3.84
sr_A4_100000038.mp4,সবাই,Isolated_Gloss_Renamed_Audioless\100000038,5.76
ab_A3_100000046.mp4,অপরাধ,Isolated_Gloss_Renamed_Audioless\100000046,3.36
ar_A2_100000046.mp4,অপরাধ,Isolated_Gloss_Renamed_Audioless\100000046,2.88
